WarehouseID,ProductID,SKU,CurrentStock,ReorderPoint,LeadTimeDays,UnitHoldingCost,StockoutRiskScore
WH-US-EAST-1,PROD-1861,SKU-FUR-STO-1861,3422,320,21,100.4,0.0
WH-US-EAST-1,PROD-0354,SKU-FUR-BOO-0354,2327,156,7,162.18,0.0
WH-US-EAST-1,PROD-1334,SKU-FUR-OFF-1334,2932,682,11,76.83,0.0
WH-US-EAST-1,PROD-0906,SKU-LOG-PAC-0906,2701,420,6,134.53,0.0
WH-US-EAST-1,PROD-1290,SKU-OFF-PAP-1290,3301,569,5,79.88,0.0
WH-US-EAST-1,PROD-1274,SKU-TEC-SMA-1274,2801,536,21,111.03,0.0
WH-US-EAST-1,PROD-0939,SKU-LOG-PAL-0939,912,568,8,67.99,0.0
WH-US-EAST-1,PROD-1732,SKU-OFF-BIN-1732,1158,209,19,17.34,0.0
WH-US-EAST-1,PROD-0066,SKU-FUR-BOO-0066,3075,688,13,96.89,0.0
WH-US-EAST-1,PROD-1324,SKU-OFF-STO-1324,509,588,10,47.3,0.134
WH-US-EAST-1,PROD-0057,SKU-OFF-PEN-0057,583,396,19,164.6,0.0
WH-US-EAST-1,PROD-1293,SKU-LOG-PAL-1293,465,350,18,63.87,0.0
WH-US-EAST-1,PROD-1119,SKU-TEC-MON-1119,97,477,18,107.77,0.797
WH-US-EAST-1,PROD-0585,SKU-TEC-ACC-0585,2956,451,5,122.25,0.0
WH-US-EAST-1,PROD-0375,SKU-FUR-DES-0375,194,398,18,165.16,0.513
WH-US-EAST-1,PROD-0276,SKU-OFF-PEN-0276,1723,312,8,67.32,0.0
WH-US-EAST-1,PROD-0747,SKU-TEC-MON-0747,1737,492,22,78.75,0.0
WH-US-EAST-1,PROD-0129,SKU-LOG-LAB-0129,1136,275,25,151.06,0.0
WH-US-EAST-1,PROD-1647,SKU-LOG-IND-1647,1376,281,14,27.41,0.0
WH-US-EAST-1,PROD-1853,SKU-LOG-LAB-1853,3300,696,9,7.7,0.0
WH-US-EAST-1,PROD-0675,SKU-LOG-BAR-0675,2196,508,5,91.76,0.0
WH-US-EAST-1,PROD-1665,SKU-FUR-BOO-1665,3326,591,10,147.15,0.0
WH-US-EAST-1,PROD-1982,SKU-LOG-PAL-1982,1329,654,19,43.38,0.0
WH-US-EAST-1,PROD-1084,SKU-FUR-OFF-1084,340,271,16,83.49,0.0
WH-US-EAST-1,PROD-1923,SKU-LOG-BAR-1923,1198,434,25,73.73,0.0
