OrderID,OrderDate,CustomerID,ProductID,WarehouseID,CarrierID,Quantity,UnitPrice,UnitCost,DiscountRate,GrossRevenue,NetRevenue,COGS,ShippingCost,Profit,TransitDays,PromisedDays,IsLate
ORD-00000001,2025-12-22,CUST-023908,PROD-0223,WH-US-WEST-1,CAR-07,6,650.18,496.61,0.0,3901.08,3901.08,2979.66,9.96,911.46,3,3,0
ORD-00000002,2025-12-27,CUST-011078,PROD-1164,WH-US-WEST-1,CAR-06,6,1872.55,908.0,0.0,11235.3,11235.3,5448.0,12.53,5774.77,6,6,0
ORD-00000003,2024-03-06,CUST-002266,PROD-1766,WH-APAC-OSAK-1,CAR-04,6,817.09,666.83,0.2,4902.54,3922.03,4000.98,11.67,-90.62,2,2,0
ORD-00000004,2023-10-23,CUST-003649,PROD-0021,WH-EU-CENT-1,CAR-04,10,417.97,255.8,0.15,4179.7,3552.75,2558.0,25.22,969.53,5,5,0
ORD-00000005,2025-10-10,CUST-024279,PROD-0371,WH-APAC-SING-1,CAR-05,10,1533.43,868.38,0.0,15334.3,15334.3,8683.8,33.23,6617.27,6,6,0
ORD-00000006,2023-10-05,CUST-000421,PROD-0639,WH-APAC-SING-1,CAR-07,6,776.34,522.48,0.0,4658.04,4658.04,3134.88,8.61,1514.55,1,2,0
ORD-00000007,2025-07-01,CUST-007474,PROD-1744,WH-EU-CENT-1,CAR-01,7,685.7,551.51,0.0,4799.9,4799.9,3860.57,22.14,917.19,6,6,0
ORD-00000008,2023-09-05,CUST-015610,PROD-1376,WH-US-EAST-1,CAR-08,8,509.14,237.36,0.0,4073.12,4073.12,1898.88,43.89,2130.35,6,6,0
ORD-00000009,2023-09-14,CUST-006573,PROD-1574,WH-APAC-MELB-1,CAR-04,11,12.58,10.24,0.0,138.38,138.38,112.64,18.62,7.12,3,3,0
ORD-00000010,2025-10-30,CUST-000315,PROD-1414,WH-APAC-TYO-1,CAR-08,5,1064.26,828.21,0.1,5321.3,4789.17,4141.05,39.83,608.29,3,4,0
ORD-00000011,2023-06-26,CUST-006234,PROD-1071,WH-CA-EAST-1,CAR-08,9,884.19,597.36,0.0,7957.71,7957.71,5376.24,9.84,2571.63,3,3,0
ORD-00000012,2025-12-27,CUST-018871,PROD-1869,WH-APAC-SYD-1,CAR-01,10,1983.35,942.49,0.05,19833.5,18841.82,9424.9,45.97,9370.96,4,4,0
ORD-00000013,2024-06-02,CUST-016212,PROD-1479,WH-UK-LOND-1,CAR-05,7,1086.61,627.52,0.15,7606.27,6465.33,4392.64,39.24,2033.45,6,6,0
ORD-00000014,2023-12-30,CUST-021755,PROD-0824,WH-US-WEST-1,CAR-04,9,78.95,63.57,0.1,710.55,639.5,572.13,32.61,34.76,4,3,1
ORD-00000015,2024-10-23,CUST-017985,PROD-1796,WH-EU-CENT-1,CAR-02,3,1855.63,883.65,0.0,5566.89,5566.89,2650.95,41.66,2874.28,1,0,1
ORD-00000016,2024-10-17,CUST-021740,PROD-0599,WH-UK-MANC-1,CAR-01,6,40.93,27.4,0.05,245.58,233.3,164.4,5.53,63.37,6,6,0
ORD-00000017,2024-04-03,CUST-002618,PROD-0822,WH-EU-CENT-1,CAR-07,10,1327.24,949.24,0.1,13272.4,11945.16,9492.4,4.77,2447.99,5,5,0
ORD-00000018,2024-09-20,CUST-016484,PROD-0893,WH-APAC-SYD-1,CAR-05,5,962.94,570.64,0.0,4814.7,4814.7,2853.2,23.36,1938.14,2,2,0
ORD-00000019,2024-03-12,CUST-009004,PROD-1814,WH-US-CENT-1,CAR-07,2,736.07,416.54,0.0,1472.14,1472.14,833.08,25.62,613.44,1,1,0
ORD-00000020,2024-02-18,CUST-011725,PROD-0008,WH-UK-LOND-1,CAR-04,1,163.42,108.71,0.15,163.42,138.91,108.71,6.05,24.15,5,5,0
ORD-00000021,2025-10-15,CUST-009614,PROD-1390,WH-EU-WEST-1,CAR-04,6,61.46,34.37,0.0,368.76,368.76,206.22,26.24,136.3,3,3,0
ORD-00000022,2024-02-04,CUST-004044,PROD-1541,WH-EU-CENT-1,CAR-04,9,324.76,207.07,0.0,2922.84,2922.84,1863.63,34.92,1024.29,7,7,0
ORD-00000023,2023-01-24,CUST-024821,PROD-0500,WH-UK-LOND-1,CAR-06,7,971.45,704.11,0.0,6800.15,6800.15,4928.77,38.84,1832.54,4,4,0
ORD-00000024,2024-06-26,CUST-019837,PROD-1244,WH-APAC-OSAK-1,CAR-02,4,1189.31,946.45,0.0,4757.24,4757.24,3785.8,6.37,965.07,5,5,0
ORD-00000025,2025-10-22,CUST-022690,PROD-0036,WH-US-CENT-1,CAR-07,4,132.66,79.09,0.05,530.64,504.11,316.36,38.89,148.86,1,1,0
ORD-00000026,2023-01-04,CUST-011455,PROD-0761,WH-APAC-SYD-1,CAR-03,9,44.9,33.65,0.15,404.1,343.48,302.85,18.36,22.27,3,3,0
ORD-00000027,2023-07-02,CUST-001014,PROD-0017,WH-UK-MANC-1,CAR-03,6,1014.76,681.51,0.15,6088.56,5175.28,4089.06,36.7,1049.52,3,3,0
ORD-00000028,2024-12-23,CUST-004390,PROD-0053,WH-UK-MANC-1,CAR-01,5,127.22,84.96,0.0,636.1,636.1,424.8,5.52,205.78,6,6,0
ORD-00000029,2025-04-10,CUST-000246,PROD-1223,WH-APAC-OSAK-1,CAR-04,5,1180.99,927.55,0.15,5904.95,5019.21,4637.75,15.35,366.11,2,2,0
ORD-00000030,2025-01-01,CUST-012260,PROD-1002,WH-APAC-MELB-1,CAR-07,1,231.12,183.79,0.0,231.12,231.12,183.79,29.96,17.37,3,3,0
ORD-00000031,2023-09-14,CUST-003521,PROD-0762,WH-US-WEST-1,CAR-03,4,911.94,520.99,0.0,3647.76,3647.76,2083.96,35.86,1527.94,2,2,0
ORD-00000032,2025-09-12,CUST-003240,PROD-1536,WH-APAC-SING-1,CAR-07,5,236.51,187.48,0.05,1182.55,1123.42,937.4,19.76,166.26,3,3,0
ORD-00000033,2025-04-29,CUST-009832,PROD-0626,WH-US-EAST-2,CAR-07,9,555.1,440.08,0.0,4995.9,4995.9,3960.72,32.76,1002.42,4,4,0
ORD-00000034,2024-10-30,CUST-019861,PROD-0634,WH-EU-WEST-1,CAR-07,5,1147.89,530.9,0.0,5739.45,5739.45,2654.5,12.6,3072.35,5,6,0
ORD-00000035,2024-07-16,CUST-023968,PROD-1050,WH-US-CENT-1,CAR-05,6,122.79,56.74,0.05,736.74,699.9,340.44,6.45,353.01,4,3,1
ORD-00000036,2024-05-26,CUST-010841,PROD-0424,WH-EU-CENT-1,CAR-04,3,588.89,401.68,0.15,1766.67,1501.67,1205.04,34.32,262.31,2,2,0
ORD-00000037,2024-01-03,CUST-003596,PROD-0853,WH-APAC-MELB-1,CAR-02,7,1099.64,701.24,0.0,7697.48,7697.48,4908.68,20.52,2768.28,3,3,0
ORD-00000038,2025-02-13,CUST-014937,PROD-0562,WH-APAC-SYD-1,CAR-08,3,466.38,337.24,0.0,1399.14,1399.14,1011.72,45.78,341.64,3,3,0
ORD-00000039,2025-05-07,CUST-007834,PROD-0425,WH-APAC-SYD-1,CAR-08,7,1097.16,773.72,0.0,7680.12,7680.12,5416.04,43.56,2220.52,3,3,0
ORD-00000040,2025-04-01,CUST-010276,PROD-0088,WH-US-WEST-2,CAR-01,8,389.35,248.52,0.0,3114.8,3114.8,1988.16,26.72,1099.92,1,1,0
ORD-00000041,2024-11-29,CUST-017424,PROD-0641,WH-APAC-SING-1,CAR-05,1,163.4,74.43,0.15,163.4,138.89,74.43,27.34,37.12,3,3,0
ORD-00000042,2025-02-14,CUST-006350,PROD-1470,WH-US-WEST-1,CAR-04,10,969.46,476.1,0.05,9694.6,9209.87,4761.0,28.64,4420.23,4,4,0
ORD-00000043,2023-11-26,CUST-013806,PROD-1550,WH-UK-LOND-1,CAR-01,7,94.23,56.55,0.0,659.61,659.61,395.85,27.87,235.89,5,5,0
ORD-00000044,2023-03-07,CUST-010914,PROD-1999,WH-US-EAST-2,CAR-07,1,1234.09,699.48,0.05,1234.09,1172.39,699.48,8.06,464.85,5,6,0
ORD-00000045,2024-05-21,CUST-024472,PROD-1892,WH-US-CENT-1,CAR-06,2,715.53,524.84,0.1,1431.06,1287.95,1049.68,19.09,219.18,6,6,0
ORD-00000046,2025-05-05,CUST-009179,PROD-0497,WH-UK-LOND-1,CAR-03,1,276.9,126.1,0.0,276.9,276.9,126.1,31.27,119.53,2,2,0
ORD-00000047,2024-11-11,CUST-010663,PROD-1110,WH-US-WEST-1,CAR-08,9,1298.71,866.37,0.15,11688.39,9935.13,7797.33,47.31,2090.49,7,7,0
ORD-00000048,2023-02-23,CUST-017344,PROD-1612,WH-EU-CENT-1,CAR-04,10,1269.52,793.83,0.0,12695.2,12695.2,7938.3,6.69,4750.21,3,3,0
ORD-00000049,2023-03-24,CUST-002253,PROD-1441,WH-UK-MANC-1,CAR-01,8,771.93,604.27,0.2,6175.44,4940.35,4834.16,28.71,77.48,1,1,0
ORD-00000050,2025-07-30,CUST-004253,PROD-1553,WH-US-EAST-2,CAR-04,8,1440.06,748.83,0.0,11520.48,11520.48,5990.64,6.29,5523.55,3,4,0
ORD-00000051,2023-06-06,CUST-021919,PROD-0795,WH-UK-MANC-1,CAR-06,4,359.1,261.28,0.15,1436.4,1220.94,1045.12,17.77,158.05,2,2,0
ORD-00000052,2024-06-27,CUST-021311,PROD-1290,WH-US-CENT-1,CAR-04,7,656.58,443.78,0.0,4596.06,4596.06,3106.46,21.83,1467.77,4,4,0
ORD-00000053,2023-09-24,CUST-000299,PROD-1878,WH-US-EAST-1,CAR-04,11,462.18,261.92,0.05,5083.98,4829.78,2881.12,30.08,1918.58,7,8,0
ORD-00000054,2023-10-23,CUST-016403,PROD-0080,WH-US-WEST-1,CAR-08,6,648.12,378.63,0.0,3888.72,3888.72,2271.78,21.8,1595.14,1,0,1
