ReturnID,OrderID,ReturnDate,ProductID,ReturnReason,RefundAmount,RestockFee
RET-0000001,ORD-00076298,2024-06-08,PROD-0147,Wrong Item Sent,2937.56,293.76
RET-0000002,ORD-00439352,2024-03-05,PROD-1352,Defective Product,3803.92,380.39
RET-0000003,ORD-00392105,2024-04-06,PROD-1971,Late Delivery,9786.45,978.65
RET-0000004,ORD-00460617,2024-11-04,PROD-0092,Wrong Item Sent,4356.54,435.65
RET-0000005,ORD-00000980,2023-08-29,PROD-1302,Late Delivery,3418.13,341.81
RET-0000006,ORD-00090425,2025-09-29,PROD-1777,Buyer Remorse,1079.4,107.94
RET-0000007,ORD-00484006,2023-08-04,PROD-1435,Defective Product,11159.46,1115.95
RET-0000008,ORD-00057324,2024-01-02,PROD-1749,Late Delivery,9829.2,982.92
RET-0000009,ORD-00422496,2024-07-05,PROD-0715,Defective Product,4295.04,429.5
RET-0000010,ORD-00366774,2024-10-20,PROD-1897,Damaged Packaging,8538.7,853.87
RET-0000011,ORD-00366405,2023-11-21,PROD-0435,Wrong Item Sent,977.6,97.76
RET-0000012,ORD-00111620,2023-11-21,PROD-1878,Defective Product,3697.44,369.74
RET-0000013,ORD-00224916,2023-11-20,PROD-1705,Wrong Item Sent,12335.2,1233.52
RET-0000014,ORD-00236175,2025-09-03,PROD-0481,Defective Product,20268.93,2026.89
RET-0000015,ORD-00043115,2025-01-28,PROD-0273,Defective Product,5146.0,514.6
RET-0000016,ORD-00054000,2025-07-08,PROD-1487,Late Delivery,11628.32,1162.83
RET-0000017,ORD-00061276,2024-01-27,PROD-0450,Wrong Item Sent,3629.02,362.9
RET-0000018,ORD-00271184,2023-02-27,PROD-0255,Wrong Item Sent,1398.86,139.89
RET-0000019,ORD-00084760,2023-03-26,PROD-0161,Late Delivery,976.58,97.66
RET-0000020,ORD-00203464,2025-08-30,PROD-0804,Buyer Remorse,1130.44,113.04
RET-0000021,ORD-00124539,2024-08-15,PROD-1753,Late Delivery,15736.05,1573.6
RET-0000022,ORD-00095604,2025-08-30,PROD-0496,Late Delivery,4075.3,407.53
RET-0000023,ORD-00490123,2025-04-21,PROD-0995,Wrong Item Sent,684.99,68.5
RET-0000024,ORD-00217515,2025-12-02,PROD-1705,Late Delivery,7031.06,703.11
RET-0000025,ORD-00127999,2025-10-01,PROD-1054,Defective Product,160.98,16.1
RET-0000026,ORD-00141117,2023-01-21,PROD-1592,Buyer Remorse,3240.32,324.03
RET-0000027,ORD-00011546,2024-10-02,PROD-0448,Late Delivery,1409.0,140.9
RET-0000028,ORD-00502183,2023-06-10,PROD-1506,Damaged Packaging,3794.96,379.5
RET-0000029,ORD-00219574,2024-03-28,PROD-0723,Buyer Remorse,1230.33,123.03
RET-0000030,ORD-00195607,2023-11-30,PROD-1226,Defective Product,9479.21,947.92
RET-0000031,ORD-00214816,2024-05-30,PROD-0158,Buyer Remorse,1261.68,126.17
RET-0000032,ORD-00014278,2024-05-08,PROD-1353,Defective Product,483.64,48.36
RET-0000033,ORD-00486728,2025-05-05,PROD-0736,Defective Product,11309.71,1130.97
RET-0000034,ORD-00067093,2025-10-04,PROD-1912,Wrong Item Sent,3411.32,341.13
RET-0000035,ORD-00323853,2024-10-11,PROD-1518,Late Delivery,901.25,90.12
RET-0000036,ORD-00398295,2024-05-04,PROD-1274,Wrong Item Sent,8920.89,892.09
RET-0000037,ORD-00031039,2024-11-04,PROD-1181,Defective Product,9656.64,965.66
RET-0000038,ORD-00336130,2025-09-07,PROD-0229,Damaged Packaging,197.7,19.77
RET-0000039,ORD-00274862,2023-03-16,PROD-0983,Damaged Packaging,5470.75,547.08
RET-0000040,ORD-00100509,2025-04-12,PROD-0301,Buyer Remorse,15280.1,1528.01
RET-0000041,ORD-00275966,2023-11-10,PROD-0552,Damaged Packaging,11867.62,1186.76
RET-0000042,ORD-00404519,2025-06-05,PROD-1087,Defective Product,4723.4,472.34
RET-0000043,ORD-00487009,2023-10-27,PROD-1111,Defective Product,2135.43,213.54
RET-0000044,ORD-00384327,2023-02-05,PROD-0806,Wrong Item Sent,3978.83,397.88
RET-0000045,ORD-00478107,2024-12-26,PROD-1119,Buyer Remorse,3388.86,338.89
RET-0000046,ORD-00382394,2025-03-08,PROD-0912,Damaged Packaging,1875.02,187.5
RET-0000047,ORD-00289336,2024-01-14,PROD-1957,Defective Product,2399.49,239.95
RET-0000048,ORD-00510523,2023-12-08,PROD-0364,Defective Product,5554.0,555.4
RET-0000049,ORD-00117056,2025-09-10,PROD-0824,Damaged Packaging,525.02,52.5
RET-0000050,ORD-00247371,2025-05-01,PROD-0689,Damaged Packaging,5047.5,504.75
RET-0000051,ORD-00317099,2023-08-01,PROD-1637,Late Delivery,496.05,49.6
RET-0000052,ORD-00469860,2025-10-04,PROD-1613,Late Delivery,3025.98,302.6
RET-0000053,ORD-00417043,2023-02-04,PROD-0876,Defective Product,1936.22,193.62
RET-0000054,ORD-00102995,2023-01-17,PROD-1792,Defective Product,1274.21,127.42
RET-0000055,ORD-00033403,2025-08-17,PROD-1689,Defective Product,3231.69,323.17
RET-0000056,ORD-00302053,2023-12-25,PROD-0557,Wrong Item Sent,9972.61,997.26
RET-0000057,ORD-00311618,2025-08-12,PROD-0752,Buyer Remorse,111.96,11.2
